Project Name,URL,Technical Execution (40%),Potential Impact (20%),Innovation / Wow Factor (30%),Presentation / Demo (10%),Weighted Total,Justification
CodeJam,https://vibe.devpost.com/submissions/922926-codejam,8,7,8,8,7.8,"Gamified multiplayer coding esports with Daytona-powered live Linux sandboxes and async Ghost Mode. Full-stack with real-time features, strong execution."
Serenity,https://vibe.devpost.com/submissions/922371-serenity,8,8,7,8,7.7,"Privacy-first mental health platform with zero-login ephemeral sessions and culturally-adaptive AI. MERN+Gemini, well-architected."
AnchorMesh,https://vibe.devpost.com/submissions/920076-anchormesh,8,9,9,8,8.5,"Bluetooth mesh SOS network that works without internet. Innovative P2P BLE communication for disaster zones. Life-saving potential."
MissionMatch,https://vibe.devpost.com/submissions/922128-missionmatch,8,8,8,7,7.9,"Multi-agent system for non-profits: web scraping, voice AI phone calls to organizations, aggregated dashboard. Creative real-world automation."
NeuralStride,https://vibe.devpost.com/submissions/919808-neuralstride,8,7,8,8,7.8,"AI posture monitoring with Chrome extension plant that grows/wilts. MediaPipe + 3D spine heatmap. Creative gamification approach."
Memoria Clew,https://vibe.devpost.com/submissions/921761-memoria-clew,7,7,7,7,7.0,"Knowledge capture system with proactive context-aware recall. LLM summaries with Firestore persistence. Solid but not highly novel."
ADEX - Adaptive Data Extraction System,https://vibe.devpost.com/submissions/919867-adex-adaptive-data-extraction-system,8,7,9,8,8.1,"Novel temporal RAG approach applying video frame analysis to OCR. Solves real packaging readability problems where static OCR fails."
AuditEase,https://vibe.devpost.com/submissions/924190-auditease,7,8,7,8,7.3,"AI legal compliance SaaS with contract chat, risk scoring, and HIPAA/GDPR analysis. Democratizes legal auditing for SMBs."
DebateMaster-AI,https://vibe.devpost.com/submissions/922393-debatemaster-ai,8,7,8,7,7.7,"Voice-based AI debate coaching with Gemini Live API, WebGL visualization, persona discovery, and 10-metric performance analytics."
Me7hod AI,https://vibe.devpost.com/submissions/920618-me7hod-ai,8,8,8,7,7.9,"Reasoning-required coding assessment platform. Evaluates voice explanations alongside code execution for fairer hiring decisions."
Protogen,https://vibe.devpost.com/submissions/923445-protogen,5,5,5,6,5.1,"Basic LLM wrapper for RCSB Protein Databank queries and PyMOL code generation. Simple implementation with limited technical depth."
AceUp-interview,https://vibe.devpost.com/submissions/920940-aceup-interview,7,7,7,5,6.8,"Automated system design interview platform with real-time AI interaction and canvas sync. Brief submission with limited documentation."
PlantBuddy,https://vibe.devpost.com/submissions/922934-plantbuddy,9,8,9,8,8.7,"IoT device that reads real plant electrical signals and transforms them into emotional conversations and music. Hardware+AI+streaming. Highly innovative."
CareForAll,https://vibe.devpost.com/submissions/923969-careforall,7,8,6,8,7.0,"AI health+mental wellness with doctor verification workflow, pattern alerts, and medicine tracker. Well-presented but concept is common."
RepoRadio,https://vibe.devpost.com/submissions/922713-reporadio,8,7,9,7,8.0,"Transforms GitHub repos into AI-generated podcasts with distinct host personalities. Daytona sandboxes for secure code analysis. Very creative concept."
LENS,https://vibe.devpost.com/submissions/922765-lens,8,7,8,6,7.6,"Chrome extension for design intelligence: CSS-to-Tailwind, accessibility checks, AI that executes live page modifications. No video hurts score."
KrishiBotAI,https://vibe.devpost.com/submissions/922756-krishibotai,8,9,8,7,8.1,"Comprehensive agricultural AI ecosystem with gamified farm simulator driven by real weather data, disease detection, and voice chatbot for farmers."
